"FIPS","Admin2","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Combined_Key","Incidence_Rate","Case.Fatality_Ratio"
42087,"Mifflin","Pennsylvania","US","2020-09-12",40.61116939,-77.61070738,185,1,0,184,"Mifflin, Pennsylvania, US",400.971000043348,0.540540540540541
42089,"Monroe","Pennsylvania","US","2020-09-12",41.05934058,-75.34031025,1753,129,0,1624,"Monroe, Pennsylvania, US",1029.53527024567,7.35881346263548
42091,"Montgomery","Pennsylvania","US","2020-09-12",40.21053671,-75.36652296,11537,867,0,10670,"Montgomery, Pennsylvania, US",1388.46933801893,7.51495189390656
42093,"Montour","Pennsylvania","US","2020-09-12",41.03023987,-76.66345939,158,5,0,153,"Montour, Pennsylvania, US",866.703236423478,3.16455696202532
42095,"Northampton","Pennsylvania","US","2020-09-12",40.75182733,-75.30471829,4210,302,0,3908,"Northampton, Pennsylvania, US",1379.03925839789,7.17339667458432
42097,"Northumberland","Pennsylvania","US","2020-09-12",40.84785433,-76.70798222,784,43,0,741,"Northumberland, Pennsylvania, US",863.02742093502,5.48469387755102
42099,"Perry","Pennsylvania","US","2020-09-12",40.40206612,-77.26297447,184,6,0,178,"Perry, Pennsylvania, US",397.648686030429,3.26086956521739
42101,"Philadelphia","Pennsylvania","US","2020-09-12",40.00338507,-75.1379271,34986,1770,0,33216,"Philadelphia, Pennsylvania, US",2208.62288392388,5.05916652375236
42103,"Pike","Pennsylvania","US","2020-09-12",41.33155042,-75.03208106,553,21,0,532,"Pike, Pennsylvania, US",990.879607231808,3.79746835443038
42105,"Potter","Pennsylvania","US","2020-09-12",41.74471626,-77.89559864,25,0,0,25,"Potter, Pennsylvania, US",151.27677598935,0
42107,"Schuylkill","Pennsylvania","US","2020-09-12",40.70497338,-76.2150785,1026,51,0,975,"Schuylkill, Pennsylvania, US",725.811586103467,4.97076023391813
42109,"Snyder","Pennsylvania","US","2020-09-12",40.77129231,-77.06840691,197,3,0,194,"Snyder, Pennsylvania, US",487.961953829387,1.52284263959391
42111,"Somerset","Pennsylvania","US","2020-09-12",39.97172723,-79.02699593,192,3,0,189,"Somerset, Pennsylvania, US",261.412991681076,1.5625
42113,"Sullivan","Pennsylvania","US","2020-09-12",41.44634738,-76.51246591,10,0,0,10,"Sullivan, Pennsylvania, US",164.853280580284,0
42115,"Susquehanna","Pennsylvania","US","2020-09-12",41.82147784,-75.80071959,284,28,0,256,"Susquehanna, Pennsylvania, US",704.225352112676,9.85915492957746
42117,"Tioga","Pennsylvania","US","2020-09-12",41.77255149,-77.25433032,50,3,0,47,"Tioga, Pennsylvania, US",123.180015274322,6
90042,"Unassigned","Pennsylvania","US","2020-09-12",NA,NA,0,0,0,0,"Unassigned, Pennsylvania, US",NA,NA
42119,"Union","Pennsylvania","US","2020-09-12",40.96188846,-77.05996014,420,6,0,414,"Union, Pennsylvania, US",934.933107762171,1.42857142857143
42121,"Venango","Pennsylvania","US","2020-09-12",41.40323442,-79.75845449,74,1,0,73,"Venango, Pennsylvania, US",146.048788189785,1.35135135135135
42123,"Warren","Pennsylvania","US","2020-09-12",41.81304978,-79.26969577,40,1,0,39,"Warren, Pennsylvania, US",102.064249445026,2.5
42125,"Washington","Pennsylvania","US","2020-09-12",40.19208869,-80.24582867,1177,28,0,1149,"Washington, Pennsylvania, US",568.970101273778,2.37892948173322
42127,"Wayne","Pennsylvania","US","2020-09-12",41.64938475,-75.29956506,198,10,0,188,"Wayne, Pennsylvania, US",385.506512723662,5.05050505050505
42129,"Westmoreland","Pennsylvania","US","2020-09-12",40.3137798,-79.46615476,1945,49,0,1896,"Westmoreland, Pennsylvania, US",557.467920515679,2.51928020565553
42131,"Wyoming","Pennsylvania","US","2020-09-12",41.51955538,-76.01074915,71,8,0,63,"Wyoming, Pennsylvania, US",264.984698066731,11.2676056338028
42133,"York","Pennsylvania","US","2020-09-12",39.9210089,-76.73040131,3995,132,0,3863,"York, Pennsylvania, US",889.640091035011,3.30413016270338
44001,"Bristol","Rhode Island","US","2020-09-12",41.71018079,-71.28652315,369,0,0,369,"Bristol, Rhode Island, US",761.154314239155,0
44003,"Kent","Rhode Island","US","2020-09-12",41.67106337,-71.57641596,1746,0,0,1746,"Kent, Rhode Island, US",1062.74194726463,0
