FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
24510.0,Baltimore City,Maryland,US,2020-09-01,39.30211911,-76.61151012,14535,461,0,14074.0,"Baltimore City, Maryland, US",2449.072435929839,3.1716546267629857
24009.0,Calvert,Maryland,US,2020-09-01,38.53961642,-76.56820632,791,28,0,763.0,"Calvert, Maryland, US",854.9040799783843,3.5398230088495577
24011.0,Caroline,Maryland,US,2020-09-01,38.87172293,-75.82904158,513,3,0,510.0,"Caroline, Maryland, US",1535.6522780338862,0.5847953216374269
24013.0,Carroll,Maryland,US,2020-09-01,39.56453592,-77.02373735,1700,123,0,1577.0,"Carroll, Maryland, US",1009.219517118144,7.235294117647059
24015.0,Cecil,Maryland,US,2020-09-01,39.56647682,-75.94627411,795,31,0,764.0,"Cecil, Maryland, US",772.9327694326965,3.89937106918239
24017.0,Charles,Maryland,US,2020-09-01,38.51092331,-76.98580666,2403,94,0,2309.0,"Charles, Maryland, US",1471.9123835425128,3.9117769454848106
24019.0,Dorchester,Maryland,US,2020-09-01,38.45413522,-76.02752426,462,6,0,456.0,"Dorchester, Maryland, US",1446.96044348398,1.2987012987012987
24021.0,Frederick,Maryland,US,2020-09-01,39.47296601,-77.39999394,3505,125,0,3380.0,"Frederick, Maryland, US",1350.429787283228,3.5663338088445085
24023.0,Garrett,Maryland,US,2020-09-01,39.52786077,-79.27355126,63,0,0,63.0,"Garrett, Maryland, US",217.1365547666644,0.0
24025.0,Harford,Maryland,US,2020-09-01,39.55010644,-76.30775940000002,2500,70,0,2430.0,"Harford, Maryland, US",978.6995822910184,2.8
24027.0,Howard,Maryland,US,2020-09-01,39.25305293,-76.93126208,4415,117,0,4298.0,"Howard, Maryland, US",1355.5835303509473,2.6500566251415627
24029.0,Kent,Maryland,US,2020-09-01,39.24976208,-76.04741541,264,24,0,240.0,"Kent, Maryland, US",1359.2832869941305,9.090909090909092
24031.0,Montgomery,Maryland,US,2020-09-01,39.13676329,-77.20358245,20103,821,0,19282.0,"Montgomery, Maryland, US",1913.3177498934035,4.083967567029797
24033.0,Prince George's,Maryland,US,2020-09-01,38.83070039,-76.8496441,26356,793,0,25563.0,"Prince George's, Maryland, US",2898.4072836284417,3.0088025497040523
24035.0,Queen Anne's,Maryland,US,2020-09-01,39.06198912,-76.03530977,556,26,0,530.0,"Queen Anne's, Maryland, US",1103.5906393283183,4.676258992805756
24039.0,Somerset,Maryland,US,2020-09-01,38.1163542,-75.75118623,196,4,0,192.0,"Somerset, Maryland, US",765.1467832604621,2.0408163265306123
24037.0,St. Mary's,Maryland,US,2020-09-01,38.30058422,-76.60629279999998,1121,55,0,1066.0,"St. Mary's, Maryland, US",987.5781869438816,4.906333630686887
24041.0,Talbot,Maryland,US,2020-09-01,38.76618159,-76.10882561,473,4,0,469.0,"Talbot, Maryland, US",1272.1551329980366,0.8456659619450317
90024.0,Unassigned,Maryland,US,2020-09-01,,,0,11,0,-11.0,"Unassigned, Maryland, US",,
24043.0,Washington,Maryland,US,2020-09-01,39.60835778,-77.82002295,1321,33,0,1288.0,"Washington, Maryland, US",874.5506425067363,2.498107494322483
24045.0,Wicomico,Maryland,US,2020-09-01,38.37301947,-75.62705831,1568,47,0,1521.0,"Wicomico, Maryland, US",1513.3820421005896,2.997448979591837
24047.0,Worcester,Maryland,US,2020-09-01,38.21274277,-75.33200012,835,24,0,811.0,"Worcester, Maryland, US",1597.291300022955,2.8742514970059885
25001.0,Barnstable,Massachusetts,US,2020-09-01,41.72980578,-70.28854339,1630,165,0,1465.0,"Barnstable, Massachusetts, US",765.2941452650357,10.122699386503069
25003.0,Berkshire,Massachusetts,US,2020-09-01,42.37428441,-73.20524838,665,46,0,619.0,"Berkshire, Massachusetts, US",532.2384428223843,6.917293233082707
